term_id,L,S,term_upper_id,Lu,J,Jʹ,K,Q,Ju,Jʹu,Ku,Qu,coefficient
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,-0.0,2.0,2.0,3.0,-0.0,-74833110.65297233
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,-0.0,2.0,3.0,3.0,-0.0,115930956.52154346
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,-39440512.34313379
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,111554614.92520653
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,23664307.405880272
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,-74833110.65297233
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,115930956.52154346
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,-39440512.34313379
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,111554614.92520653
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,23664307.405880272
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,-74833110.65297233
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,115930956.52154346
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,-39440512.34313379
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,111554614.92520653
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,23664307.405880272
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,-74833110.65297233
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,115930956.52154346
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,-2.0,1.0,1.0,2.0,-2.0,20366992.996112697
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,-2.0,2.0,1.0,2.0,-2.0,78881024.68626758
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,-2.0,3.0,1.0,2.0,-2.0,186666574.16664374
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,-1.0,1.0,1.0,2.0,-1.0,20366992.996112697
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,-1.0,2.0,1.0,2.0,-1.0,78881024.68626758
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,-1.0,3.0,1.0,2.0,-1.0,186666574.16664374
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,-0.0,1.0,1.0,2.0,-0.0,20366992.996112697
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,-0.0,2.0,1.0,2.0,-0.0,78881024.68626758
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,-0.0,3.0,1.0,2.0,-0.0,186666574.16664374
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,20366992.996112697
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,78881024.68626758
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,186666574.16664374
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,20366992.996112697
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,78881024.68626758
