term_id,K,Q,J,Jʹ,term_lower_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,Kr,Qr,r_s_1,index1,index0
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,40,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,41,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,41,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,1.0,1.0,-1.0,0.0,59,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,1.0,2.0,-1.0,-26866879040.788567,59,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,60,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,60,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,1.0,2.0,0.0,-31023199692.968784,60,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,61,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,1.0,2.0,1.0,-26866879040.788567,61,20
