term_id,L,S,J,Jʹ,K,Q,Jʹʹ,Jʹʹʹ,Kʹ,Qʹ,coefficient
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5773502691896256
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,-0.5773502691896257
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,-0.5
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,0.0,0.47140452079103157
2p3_L=1.0_S=1.0,1,1,1.0,1.0,0.0,-0.0,1.0,0.0,1.0,0.0,0.47140452079103157
2p3_L=1.0_S=1.0,1,1,1.0,1.0,0.0,-0.0,1.0,1.0,1.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,0.0,-0.0,1.0,2.0,1.0,0.0,-0.5270462766947297
2p3_L=1.0_S=1.0,1,1,1.0,1.0,0.0,-0.0,2.0,1.0,1.0,0.0,-0.5270462766947297
2p3_L=1.0_S=1.0,1,1,1.0,1.0,0.0,-0.0,2.0,2.0,1.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,-0.5773502691896256
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,0.0,2.0,2.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,0.5773502691896256
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.4999999999999998
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,1.0,2.0,1.0,-1.0,0.32274861218395134
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,-1.0,-0.43301270189221924
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,2.0,0.0,2.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,-1.0,-0.32274861218395134
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,2.0,1.0,2.0,-1.0,-0.43301270189221924
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,2.0,2.0,1.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,2.0,2.0,2.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,-0.49999999999999983
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,-0.49999999999999983
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,2.0,2.0,0.0,-0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5773502691896256
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-0.5773502691896256
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4999999999999998
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-0.32274861218395134
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,-0.43301270189221924
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.32274861218395134
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,-0.43301270189221924
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,2.0,-2.0,0.0,2.0,2.0,-2.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,1.0,2.0,-2.0,1.0,1.0,2.0,-2.0,-2.9999999999999996
