term_id,L,S,J,Jʹ,K,Q,coefficient
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,-1.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,1.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,2.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,3.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,-4.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,-3.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,-2.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,-1.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,1.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,2.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,3.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,4.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,-5.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,-4.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,-3.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,-2.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,-1.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,1.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,2.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,3.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,4.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,5.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-6.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-5.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-4.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-3.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-2.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-1.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,1.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,2.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,3.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,4.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,5.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,6.0,0.0
3p3_L=1.0_S=1.0,1,1,0.0,0.0,0.0,-0.0,0.0
3p3_L=1.0_S=1.0,1,1,0.0,1.0,1.0,-1.0,8127373535.887206
3p3_L=1.0_S=1.0,1,1,0.0,1.0,1.0,-0.0,8127373535.887206
