term_id,K,Q,J,Jʹ,term_upper_id,transition_id,Ku,Qu,Ju,Jʹu,t_s_1,Kr,Qr,index1,index0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,-2105974109.7480204,1.0,-1.0,112,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,-2105974109.7480204,1.0,0.0,113,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,-2105974109.7480204,1.0,1.0,114,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,1.0,1.0,-2105974109.7480202,2.0,-2.0,115,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,1.0,1.0,-2105974109.7480202,2.0,-1.0,116,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,-2105974109.7480202,2.0,0.0,117,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,-2105974109.7480202,2.0,1.0,118,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,-2105974109.7480202,2.0,2.0,119,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,2.0,2718800884.866025,1.0,-1.0,120,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,2.0,2718800884.866025,1.0,0.0,121,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,2.0,2718800884.866025,1.0,1.0,122,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,1.0,2.0,-3647654157.508206,2.0,-2.0,123,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,1.0,2.0,-3647654157.508206,2.0,-1.0,124,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,1.0,2.0,-3647654157.508206,2.0,0.0,125,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,1.0,2.0,-3647654157.508206,2.0,1.0,126,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,1.0,2.0,-3647654157.508206,2.0,2.0,127,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,2.0,0.0,2431769438.338804,2.0,-2.0,135,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,2.0,0.0,2431769438.338804,2.0,-1.0,136,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,2.0,0.0,2431769438.338804,2.0,0.0,137,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,2.0,0.0,2431769438.338804,2.0,1.0,138,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,2.0,0.0,2431769438.338804,2.0,2.0,139,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,1.0,-2718800884.8660245,1.0,-1.0,140,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,1.0,-2718800884.8660245,1.0,0.0,141,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,1.0,-2718800884.8660245,1.0,1.0,142,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,2.0,1.0,3647654157.508208,2.0,-2.0,143,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,2.0,1.0,3647654157.508208,2.0,-1.0,144,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,2.0,1.0,3647654157.508208,2.0,0.0,145,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,2.0,1.0,3647654157.508208,2.0,1.0,146,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,2.0,1.0,3647654157.508208,2.0,2.0,147,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,-0.0,2.0,2.0,5437601769.732049,0.0,0.0,155,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,2.0,-4709101268.251177,1.0,-1.0,156,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,2.0,-4709101268.251177,1.0,0.0,157,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,2.0,-4709101268.251177,1.0,1.0,158,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,2.0,2.0,3216928589.845847,2.0,-2.0,159,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,2.0,2.0,3216928589.845847,2.0,-1.0,160,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,2.0,2.0,3216928589.845847,2.0,0.0,161,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,2.0,2.0,3216928589.845847,2.0,1.0,162,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,2.0,2.0,3216928589.845847,2.0,2.0,163,0
2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,-0.0,0.0,0.0,-56640354259.421165,1.0,1.0,18,1
2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,0.0,1.0,56640354259.421165,0.0,0.0,19,1
2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,0.0,1.0,-34684991696.514404,1.0,0.0,19,1
2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,0.0,1.0,-20025389292.822525,2.0,0.0,19,1
2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,0.0,1.0,-34684991696.514404,1.0,1.0,20,1
2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,0.0,1.0,-34684991696.514404,2.0,1.0,20,1
2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,0.0,1.0,-49051985668.00886,2.0,2.0,21,1
2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,0.0,2.0,49051985668.00884,1.0,-1.0,22,1
