term_id,K,Q,J,Jʹ,term_upper_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,Kr,Qr,r_a_1,index1,index0
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.0,39,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,2.0,1.0,0.0,0.0,39,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,2.0,2.0,0.0,0.0,39,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,40,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,40,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,40,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,40,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,41,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,41,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,1.0,0.0,0.0,0.0,59,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,59,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,1.0,2.0,0.0,1298936425.1412795,59,19
