term_id,K,Q,J,Jʹ,term_lower_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,r_e_0,index1,index0
3s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-2.0,1.0,1.0,0.0,13,16
3s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-1.0,1.0,1.0,0.0,14,16
3s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,0.0,1.0,1.0,0.0,15,16
3s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,1.0,1.0,1.0,27739000.0,16,16
3s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,2.0,1.0,1.0,0.0,17,16
3s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,1.0,1.0,0.0,9,17
3s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,0.0,10,17
3s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,0.0,11,17
3s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,0.0,12,17
3s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-2.0,1.0,1.0,0.0,13,17
3s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-1.0,1.0,1.0,0.0,14,17
3s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,0.0,1.0,1.0,0.0,15,17
3s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,1.0,1.0,1.0,0.0,16,17
3s3_L=0.0_S=1.0,2.0,2.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,2.0,1.0,1.0,27739000.0,17,17
2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,-0.0,0.0,0.0,30660000.0,18,18
2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,0.0,30,18
2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,-0.0,2.0,2.0,0.0,74,18
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,0.0,1.0,30660000.0,19,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,0.0,1.0,0.0,20,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,0.0,1.0,0.0,21,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,0.0,0.0,27,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,0.0,0.0,28,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,0.0,0.0,29,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,0.0,31,19
