term_id,K,Q,J,Jʹ,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,n_0,n_1,index1,index0
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,33,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,-0.0,37,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.44721359549995787,41,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.33333333333333326,45,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,-0.5962847939999439,51,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,-0.0,57,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,61,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,-0.0,65,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,-0.0,71,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,77,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,-0.0,81,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,-0.0,87,25
2p3_L=1.0_S=1.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,31909909229.60795,3.0,26,26
2p3_L=1.0_S=1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,-0.0,38,26
2p3_L=1.0_S=1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.6666666666666665,46,26
2p3_L=1.0_S=1.0,2.0,2.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,-0.47140452079103173,52,26
2p3_L=1.0_S=1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,-0.0,58,26
2p3_L=1.0_S=1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,-0.0,66,26
2p3_L=1.0_S=1.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,-0.0,72,26
2p3_L=1.0_S=1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,-0.0,82,26
2p3_L=1.0_S=1.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,-0.0,88,26
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,-0.0,0.0,19,27
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,2.0,-1.0,0.0,2.0,-0.0,0.0,23,27
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,0.0,-29616496926.04057,-1.4999999999999998,27,27
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,1.0,-0.0,0.5773502691896256,31,27
2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,2.0,-1.0,1.0,1.0,-0.0,-0.5773502691896257,35,27
