term_id,K,Q,J,Jʹ,term_lower_id,transition_id,Kl,Ql,Jl,Jʹl,Kr,Qr,t_a_1,index1,index0
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,2.0,2.0,2.0,2.0,2.0,6274459035.356926,82,9
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,1.0,1.0,4743045205.43333,18,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,0.0,0.0,4743045205.43333,19,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,1.0,0.0,2904510145.0664687,19,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2.0,0.0,-1676919714.1181245,19,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,1.0,1.0,2904510145.0664687,20,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2.0,1.0,-2904510145.0664687,20,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2.0,2.0,-4107597639.2032456,21,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-2.0,0.0,2.0,1.0,-1.0,-4107597639.2032456,22,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-2.0,0.0,2.0,2.0,-1.0,-4107597639.2032433,22,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,1.0,0.0,-2904510145.0664687,23,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,2.0,0.0,-5030759142.354372,23,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,1.0,1.0,-1676919714.1181245,24,10
3s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,2.0,1.0,-5030759142.354372,24,10
