wavelength_A,I,Q,U,V
5.875276897414511950e+03,6.938644160556554086e-01,-8.102493022335132550e-03,4.471601071344917348e-03,2.842134728800090049e-02
5.875278565471226102e+03,6.929761068940705204e-01,-8.301953700704774522e-03,4.576140999656748247e-03,2.917077598345950082e-02
5.875280233527940254e+03,6.920716811675238223e-01,-8.503824898689484046e-03,4.681650678313176335e-03,2.993209968179414912e-02
5.875281901584653497e+03,6.911511477141042414e-01,-8.708033998363295253e-03,4.788076806439652520e-03,3.070520082044267060e-02
5.875283569641367649e+03,6.902145267557299180e-01,-8.914503804720074268e-03,4.895363376355931460e-03,3.148994818849817218e-02
5.875285237698081801e+03,6.892618500532615711e-01,-9.123152519221194509e-03,5.003451670107979428e-03,3.228619673872047680e-02
5.875286905754795953e+03,6.882931610374259934e-01,-9.333893722228805631e-03,5.112280261570888509e-03,3.309378742328683565e-02
5.875288573811509195e+03,6.873085149227881052e-01,-9.546636362813540333e-03,5.221785023341577424e-03,3.391254704746015508e-02
5.875290241868223347e+03,6.863079787977711677e-01,-9.761284757556542083e-03,5.331899139262542657e-03,3.474228814724242970e-02
5.875291909924937499e+03,6.852916316985877554e-01,-9.977738596726130199e-03,5.442553121747113407e-03,3.558280888474001091e-02
5.875293577981651651e+03,6.842595646556729472e-01,-1.019589296036996218e-02,5.553674835209297320e-03,3.643389297094169060e-02
5.875295246038364894e+03,6.832118807206253308e-01,-1.041563834265774036e-02,5.665189524740467386e-03,3.729530960951746299e-02
5.875296914095079046e+03,6.821486949664625765e-01,-1.063686068606559815e-02,5.777019850838113063e-03,3.816681346781330281e-02
5.875298582151793198e+03,6.810701344698384396e-01,-1.085944142363603863e-02,5.889085929279354488e-03,3.904814466816852736e-02
5.875300250208507350e+03,6.799763382633899900e-01,-1.108325753183257711e-02,6.001305377413332538e-03,3.993902880952920897e-02
5.875301918265220593e+03,6.788674572670392315e-01,-1.130818159217076603e-02,6.113593365936988676e-03,4.083917701233198000e-02
5.875303586321934745e+03,6.777436541909388490e-01,-1.153408186320290137e-02,6.225862676799908194e-03,4.174828599284843150e-02
5.875305254378648897e+03,6.766051034195507130e-01,-1.176082236079081626e-02,6.338023766541138644e-03,4.266603815952244722e-02
5.875306922435363049e+03,6.754519908646671178e-01,-1.198826294929879188e-02,6.449984835963006036e-03,4.359210174139473148e-02
5.875308590492076291e+03,6.742845137970733260e-01,-1.221625944171508132e-02,6.561651905137744212e-03,4.452613094096189578e-02
5.875310258548790443e+03,6.731028806494790961e-01,-1.244466371001557402e-02,6.672928894669433869e-03,4.546776611759630743e-02
5.875311926605504595e+03,6.719073108010767958e-01,-1.267332380376691957e-02,6.783717712032340946e-03,4.641663399343273072e-02
5.875313594662218748e+03,6.706980343312541892e-01,-1.290208407951270314e-02,6.893918343814516535e-03,4.737234789185666012e-02
5.875315262718931990e+03,6.694752917530260028e-01,-1.313078533834369580e-02,7.003428953679459099e-03,4.833450800031947187e-02
5.875316930775646142e+03,6.682393337188298199e-01,-1.335926497377669560e-02,7.112145985058776140e-03,4.930270166345946531e-02
5.875318598832360294e+03,6.669904207098757976e-01,-1.358735712679381633e-02,7.219964269380030157e-03,5.027650369783802364e-02
5.875320266889074446e+03,6.657288226963641309e-01,-1.381489285116096165e-02,7.326777139142079398e-03,5.125547673838474344e-02
5.875321934945788598e+03,6.644548187792871374e-01,-1.404170028618565574e-02,7.432476546135002166e-03,5.223917160821268946e-02
5.875323603002501841e+03,6.631686968113623681e-01,-1.426760483787472070e-02,7.536953183696831933e-03,5.322712771383712044e-02
5.875325271059215993e+03,6.618707529944518608e-01,-1.449242936829435793e-02,7.640096614001173556e-03,5.421887346783624273e-02
5.875326939115930145e+03,6.605612914650017542e-01,-1.471599439118909808e-02,7.741795398803983860e-03,5.521392673014234587e-02
5.875328607172644297e+03,6.592406238545707176e-01,-1.493811827589779269e-02,7.841937234619268671e-03,5.621179527789892105e-02
5.875330275229357540e+03,6.579090688378324003e-01,-1.515861745716137396e-02,7.940409091212373427e-03,5.721197729436721530e-02
5.875331943286071692e+03,6.565669516607327560e-01,-1.537730665190842859e-02,8.037097353688571477e-03,5.821396188237800556e-02
5.875333611342785844e+03,6.552146036617310099e-01,-1.559399908059297749e-02,8.131887967112406621e-03,5.921722959257082891e-02
5.875335279399499996e+03,6.538523617729646853e-01,-1.580850669504344982e-02,8.224666584369155764e-03,6.022125297618255435e-02
5.875336947456213238e+03,6.524805680144152298e-01,-1.602064041042413484e-02,8.315318716076661870e-03,6.122549715246011076e-02
5.875338615512927390e+03,6.510995689737313352e-01,-1.623021034214309349e-02,8.403729882932762033e-03,6.222942039600853209e-02
5.875340283569641542e+03,6.497097152852093771e-01,-1.643702604555938307e-02,8.489785769054699824e-03,6.323247473396390039e-02
5.875341951626355694e+03,6.483113610945603345e-01,-1.664089675977947769e-02,8.573372377597076113e-03,6.423410656262880380e-02
5.875343619683068937e+03,6.469048635230701949e-01,-1.684163165375381771e-02,8.654376186705245097e-03,6.523375727332503260e-02
5.875345287739783089e+03,6.454905821237209018e-01,-1.703904007501115189e-02,8.732684306597978882e-03,6.623086389261871598e-02
