profile,field_gauss,field_incl_deg,field_azim_deg,los_deg,height_arcsec,optical_depth,n,w,wavelength_A,I,Q,U,V
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875078398665554232e+03,7.260175161549929923e-01,-7.872312745207988053e-05,4.629251648567802761e-05,2.547998985858857110e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875080066722268384e+03,7.260029390917707159e-01,-8.281071334844289865e-05,4.869443599114325850e-05,2.681013058229060348e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875081734778982536e+03,7.259876474027951998e-01,-8.709735461834755468e-05,5.121255133004832340e-05,2.820531853550750298e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875083402835696688e+03,7.259716089916229409e-01,-9.159188438508657790e-05,5.385196491460840935e-05,2.966846263200465742e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875085070892409931e+03,7.259547904920915506e-01,-9.630347649985942929e-05,5.661797249136000691e-05,3.120258589226095319e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875086738949124083e+03,7.259371572276244189e-01,-1.012416557870389998e-04,5.951606872697952876e-05,3.281082902847944354e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875088407005838235e+03,7.259186731698379358e-01,-1.064163084068113117e-04,6.255195284041964823e-05,3.449645408345024668e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875090075062552387e+03,7.258993008962941751e-01,-1.118376923794889137e-04,6.573153430652397676e-05,3.626284813971351385e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875091743119265630e+03,7.258790015475595769e-01,-1.175164482204681240e-04,6.906093860012583693e-05,3.811352708275603045e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875093411175979782e+03,7.258577347834681559e-01,-1.234636097102523452e-04,7.254651299407959507e-05,4.005213942744146943e-04
